model,mae,rmse,r2,run_id
gradient_boosting,0.12878910487161976,0.17056424214821458,0.6178461152666185,ff601f9e7c774fd4a58e887cbd7aca7d
random_forest,0.13456310584062,0.17739525758269042,0.5866229976360726,c4cc0a2b925a4749bd587a1ab75c52c9
ridge,0.16471760852225723,0.20329231365128353,0.4571195304187845,e52b978d4f8a4013b29b2a81ae202f4a
dummy_mean,0.29341360507106945,0.3264900394336743,-0.4002390126000055,4b177d80df874d9d812d84e796830558
