site_id,date,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target,prediction
marrakech,2021-11-28,8.52,14.18,3.3,1.0,69.48,2.17,12.07,10.88,0.3391868986497512,1.6064600061363905,9.809999999999986,20.76,10.69142857142857,-45.74168618745939,0.68,-0.5412984521036173,0.8408305333122887,13,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4316171811385402,0.4510265632244544
meknes,2021-11-28,9.16,14.98,4.48,0.95,70.79,2.55,11.72,10.5,0.3389904932378905,1.504877469454477,39.39000000000004,60.89,11.502857142857142,-2.111808283882353,3.77,-0.5412984521036173,0.8408305333122887,13,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.02413250466671831
settat,2021-11-28,11.16,16.33,7.42,0.87,68.62,2.64,13.11,8.909999999999998,0.4163312908394797,1.5327460939361806,36.17,46.36000000000002,12.115714285714288,-20.228344756946456,3.56,-0.5412984521036173,0.8408305333122887,13,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0,0.04383582462605431
marrakech,2021-11-29,8.99,17.92,2.88,0.0,52.03,1.96,14.99,15.040000000000004,0.5503526766038059,1.9137470508253207,9.259999999999986,20.76,9.978571428571428,-44.415124205153134,1.0,-0.5267547528105542,0.8500173118187018,14,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4441439227051816,0.42949839903796966
meknes,2021-11-29,11.66,17.06,7.87,1.48,82.24,2.64,11.03,9.189999999999998,0.2435654486071098,1.5307081969689191,39.150000000000034,62.36,11.262857142857143,0.8662601507611964,0.95,-0.5267547528105542,0.8500173118187018,14,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.0
settat,2021-11-29,11.21,18.17,6.32,0.26,78.6,1.73,11.76,11.85,0.2848663511929463,1.7621287199288354,36.13,46.62000000000002,11.61,-18.434572677404457,0.87,-0.5267547528105542,0.8500173118187018,14,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0,0.018190923008057372
marrakech,2021-11-30,11.35,20.37,5.96,0.0,49.09,1.48,14.82,14.41,0.6840107649523448,2.029339206516814,6.129999999999986,20.76,9.647142857142857,-43.23397890753984,0.0,-0.5120551783114646,0.8589525565270845,15,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4509446108918619,0.3956904400702144
meknes,2021-11-30,13.12,19.59,8.58,0.46,78.91,1.16,13.48,11.01,0.3183679858155946,1.7499904504380548,26.14000000000003,62.78,11.391428571428571,2.627725578221954,1.48,-0.5120551783114646,0.8589525565270845,15,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.0
settat,2021-11-30,12.84,19.8,8.62,0.59,78.73,2.31,11.35,11.18,0.3152568746986085,1.7993705532609183,16.650000000000002,47.15000000000001,11.671428571428573,-16.39586220496191,0.26,-0.5120551783114646,0.8589525565270845,15,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0015976369219653,0.01872198764492009
marrakech,2021-12-01,10.62,18.98,5.09,0.0,53.0,1.83,14.68,13.89,0.601563197866014,1.9343506910416288,4.3899999999999855,20.76,9.61,-42.02533626469823,0.0,-0.4972040784469378,0.8676336233547726,16,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.2963237386444829,0.3875374050496819
meknes,2021-12-01,10.89,17.52,6.32,0.1,78.76,2.02,11.8,11.2,0.2767883182415819,1.63015954429483,22.580000000000037,62.79,11.265714285714283,3.6841464827044224,0.46,-0.4972040784469378,0.8676336233547726,16,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.0
settat,2021-12-01,11.36,18.71,6.18,0.13,79.62,2.1,11.47,12.53,0.2740008300418463,1.8048391695149624,16.06,47.16000000000002,11.617142857142856,-15.177758317733735,0.59,-0.4972040784469378,0.8676336233547726,16,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0,0.01582708008569793
