,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target
count,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0,3081.0
mean,13.637176241480038,21.069104186952288,8.335430055176891,1.9647387211944174,65.9876046738072,2.1884063615709186,16.460931515741645,12.733674131775398,0.5708901389022673,2.8589995643669446,13.603631937682573,58.5342323920805,13.572987898177773,-20.875999772220112,1.9623498864005193,0.47533116469237585,0.4606176971694919,92.02044790652386,0.8637188412852971,32.839999999999996,-7.053333333333332,0.27666666666666667,0.1366666666666667,1.0,140.0,0.3471699011115043
std,3.669860184945162,4.88770553185128,3.2078035054539864,6.587944036506367,15.058351778548792,0.8708159099961221,5.911703333838849,3.4498501759688875,0.3526994211507366,1.2772819425793582,24.35556319858628,58.66565351775651,3.1618334184437793,70.79364624421504,6.588311382959861,0.5359218173710243,0.5242726952041835,50.75562700485984,0.31884278825617984,0.9297027523849809,1.073869878128405,0.020551382127713628,0.01247421583130822,0.0,8.166291183169486,0.35782068711739196
min,3.25,5.7,-1.54,0.0,18.58,0.66,1.97,2.3000000000000003,0.0498921158909838,0.6171269594824813,0.0,0.0,4.685714285714285,-155.63758925787823,0.0,-0.7142921172691032,-0.6441592666722685,0.0,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.0
25%,11.09,17.82,6.21,0.0,56.02,1.59,12.39,10.47,0.3164974125946374,1.841151973711231,0.2299999999999999,17.480000000000015,11.301428571428572,-65.2483649212121,0.0,0.0687554084811394,0.0225762630415454,50.0,0.5762499999999999,31.63,-7.99,0.25,0.12,1.0,130.0,0.0
50%,13.34,20.86,8.3,0.04,68.55,1.95,15.14,13.079999999999998,0.4858312059000009,2.5091263056907334,3.88,44.40000000000002,13.31,-33.43360898561983,0.04,0.7232617254437388,0.6905740195722294,93.0,1.00125,33.0,-7.62,0.28,0.14,1.0,140.0,0.2399271459746715
75%,15.92,24.2,10.43,0.85,77.37,2.54,20.96,15.16,0.7331085204236566,3.733881904404008,17.43,78.22000000000001,15.537142857142856,12.626899239150724,0.84,0.9335418911179212,0.9210779895789526,136.0,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.7037108147462876
max,28.09,39.52,20.29,203.27,94.37,7.54,31.08,22.56,2.7580107297372765,7.913005012859247,303.27,376.69000000000005,23.554285714285715,299.16442001820366,203.27,0.9999855506507186,0.9999907524084426,178.0,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.9809241566354924
